event_index,task_ref,status,profile,profile_index,task_total_tokens_at_event,task_completion_tokens_at_event,task_requests_at_event,cumulative_total_tokens_at_event,cumulative_completion_tokens_at_event,cumulative_requests_at_event,cumulative_solved,solve_rate,solve_rate_percent
1,kleros/sortition_trees/node_id_bijection,solved,p01_ultra_tiny,1,8208,428,3,137162,5940,55,1,0.02,2.0
2,forgeyields/global_solvency/report_preserves_global_solvency,solved,p01_ultra_tiny,1,8587,470,3,145749,6410,58,2,0.04,4.0
3,lido/vaulthub_locked/reserve_ratio_bounds,solved,p01_ultra_tiny,1,13363,534,4,245865,11152,92,3,0.06,6.0
4,damn_vulnerable_defi/side_entrance/deposit_sets_sender_credit,solved,p01_ultra_tiny,1,14408,357,5,330351,13727,121,4,0.08,8.0
5,wildcat/borrow_liquidity_safety/positive_borrow_preserves_required_liquidity,solved,p01_ultra_tiny,1,19794,275,6,491061,17863,173,5,0.1,10.0
6,lido/vaulthub_locked/max_liability_shares_bound,solved,p01_ultra_tiny,1,21570,515,6,532883,18686,185,6,0.12,12.0
7,ethereum/deposit_contract_minimal/chain_start_threshold,solved,p02_tiny,2,11622,572,4,610077,21069,207,7,0.14,14.0
8,damn_vulnerable_defi/side_entrance/deposit_sets_pool_balance,solved,p02_tiny,2,12404,578,4,622481,21647,211,8,0.16,16.0
9,kleros/sortition_trees/root_equals_sum_of_leaves,solved,p02_tiny,2,15021,468,5,690126,24837,232,9,0.18,18.0
10,paladin_votes/stream_recovery_claim_usdc/double_claim_rejected,solved,p02_tiny,2,18041,893,5,791823,29723,260,10,0.2,20.0
11,ethereum/deposit_contract_minimal/full_deposit_increments_full_count,solved,p02_tiny,2,19181,744,6,886520,32902,286,11,0.22,22.0
12,onedelta/caller_address_integrity/direct_permit2_transfer_from_uses_outer_caller,solved,p02_tiny,2,27519,1165,6,1269880,43702,388,12,0.24,24.0
13,nexus_mutual/ramm_price_band/sync_sets_capital,solved,p02_tiny,2,43760,677,10,1567230,51209,455,13,0.26,26.0
14,nexus_mutual/ramm_price_band/sync_sets_book_value,solved,p03_ultra_cheap,3,34632,1008,8,1684126,54240,480,14,0.28,28.0
15,reserve/auction_price_band/price_lower_bound,solved,p03_ultra_cheap,3,37718,1039,8,1795824,59694,502,15,0.3,30.0
16,forgeyields/global_solvency/redeem_token_gateway_depreciated_preserves_global_solvency,solved,p03_ultra_cheap,3,45096,614,10,1886015,61351,521,16,0.32,32.0
17,damn_vulnerable_defi/side_entrance/flash_loan_via_deposit_preserves_pool_balance,solved,p03_ultra_cheap,3,45129,696,11,1931144,62047,532,17,0.34,34.0
