profile,max_attempts,max_tool_calls,max_turns,shell_timeout_seconds,executed_tasks,newly_solved,cumulative_solved,solve_rate,profile_prompt_tokens,profile_completion_tokens,profile_total_tokens,profile_requests,cumulative_prompt_tokens,cumulative_completion_tokens,cumulative_total_tokens,cumulative_requests
p01_ultra_tiny,1,6,6,240,50,6,6,0.12,577958,20497,598455,203,577958,20497,598455,203
p02_tiny,1,10,8,300,44,7,13,0.26,986068,31695,1017763,261,1564026,52192,1616218,464
p03_ultra_cheap,2,16,10,450,37,8,21,0.42,2400291,70714,2471005,398,3964317,122906,4087223,862
p04_cheap,2,24,12,600,29,8,29,0.58,2721165,65473,2786638,370,6685482,188379,6873861,1232
p05_quick_minus,3,32,16,750,21,8,37,0.74,2640483,47855,2688338,316,9325965,236234,9562199,1548
p06_quick,4,40,20,900,13,1,38,0.76,3956599,57363,4013962,317,13282564,293597,13576161,1865
p07_medium,8,80,35,1500,12,3,41,0.82,5228821,74661,5303482,358,18511385,368258,18879643,2223
p08_normal,16,120,50,2400,9,4,45,0.9,6074587,73600,6148187,337,24585972,441858,25027830,2560
p09_high,32,240,80,4800,5,3,48,0.96,6076796,52340,6129136,239,30662768,494198,31156966,2799
p10_ultra_high,64,500,140,9600,2,0,48,0.96,8474689,34294,8508983,219,39137457,528492,39665949,3018
