task_ref,family_id,proof_family,property_class,difficulty,claude-opus-4-8,grok,kimi/kimi-for-coding,minimax/minimax-m3,mistralai/Leanstral-2603,openai-gpt-55,openai-gpt-55-pro,virtuals/deepseek-v4-flash,virtuals/deepseek-v4-pro,virtuals/xiaomi-mimo-v2-5,xai/grok-4.3,zai/glm-5.2,attempts,passes,pass_rate,cohort_pass_rate,divisiveness,mean_total_tokens
alchemix/earmark_conservation/earmark_preserves_invariant,alchemix,state_preservation_local_effects,accounting_conservation,hard,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,12,0,0.0,0.0,0.0,714118.4
alchemix/earmark_conservation/redeem_preserves_invariant,alchemix,state_preservation_local_effects,accounting_conservation,hard,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,12,0,0.0,0.0,0.0,972370.5
alchemix/earmark_conservation/sub_debt_preserves_invariant,alchemix,state_preservation_local_effects,accounting_conservation,easy,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,12,0,0.0,0.0,0.0,727643.2
alchemix/earmark_conservation/sub_earmarked_debt_preserves_invariant,alchemix,state_preservation_local_effects,accounting_conservation,medium,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,12,0,0.0,0.0,0.0,672330.4
alchemix/earmark_conservation/sync_account_preserves_invariant,alchemix,state_preservation_local_effects,accounting_conservation,medium,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,12,0,0.0,0.0,0.0,832250.4
balancer/reclamm_swap_rounding/on_swap_fixed_virtual_balances_product_non_decreasing,balancer,state_preservation_local_effects,arithmetic_rounding,hard,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,12,0,0.0,0.0,0.0,726385.3
cork/pool_solvency/solvency_preserved,cork,functional_correctness,accounting_bound,hard,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,12,0,0.0,0.0,0.0,535812.2
damn_vulnerable_defi/side_entrance/deposit_sets_pool_balance,damn_vulnerable_defi,state_preservation_local_effects,storage_update,easy,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,fail,pass,12,10,0.8333,0.8,0.4,158314.3
damn_vulnerable_defi/side_entrance/deposit_sets_sender_credit,damn_vulnerable_defi,state_preservation_local_effects,balance_credit_update,easy,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,12,11,0.9167,0.9,0.2,128324.9
damn_vulnerable_defi/side_entrance/exploit_trace_drains_pool,damn_vulnerable_defi,refinement_equivalence,exploit_trace,medium,fail,fail,fail,fail,fail,fail,pass,fail,fail,fail,fail,fail,12,1,0.0833,0.0,0.0,888626.2
damn_vulnerable_defi/side_entrance/flash_loan_via_deposit_preserves_pool_balance,damn_vulnerable_defi,protocol_transition_correctness,accounting_invariant_break,medium,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,pass,pass,12,10,0.8333,0.8,0.4,268793.5
damn_vulnerable_defi/side_entrance/flash_loan_via_deposit_sets_sender_credit,damn_vulnerable_defi,protocol_transition_correctness,balance_credit_update,medium,pass,fail,pass,pass,fail,pass,pass,pass,pass,pass,pass,pass,12,10,0.8333,0.8,0.4,276975.1
ethereum/deposit_contract_minimal/chain_start_threshold,ethereum,protocol_transition_correctness,threshold_activation,medium,pass,pass,fail,pass,fail,pass,pass,fail,pass,pass,pass,pass,12,9,0.75,0.7,0.6,286194.2
ethereum/deposit_contract_minimal/deposit_count,ethereum,state_preservation_local_effects,monotonic_counter,easy,pass,fail,fail,fail,fail,pass,pass,fail,fail,fail,fail,pass,12,4,0.3333,0.3,0.6,400171.8
ethereum/deposit_contract_minimal/full_deposit_increments_full_count,ethereum,protocol_transition_correctness,monotonic_counter,easy,pass,pass,pass,pass,fail,pass,pass,fail,fail,pass,fail,pass,12,8,0.6667,0.7,0.6,327127.8
ethereum/deposit_contract_minimal/full_deposit_preserves_partial_gap,ethereum,refinement_equivalence,accounting_conservation,medium,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,12,0,0.0,0.0,0.0,735560
ethereum/deposit_contract_minimal/small_deposit_preserves_full_count,ethereum,state_preservation_local_effects,threshold_partition,easy,pass,pass,pass,fail,fail,fail,pass,fail,fail,fail,fail,pass,12,5,0.4167,0.4,0.8,437111.4
